topics,subject,object,label
hierarchical structure; surveillance video,hierarchical structure,surveillance video,3
semantic web service; semantic web applications,semantic web service,semantic web applications,1
gpu computing; graphic processing units,gpu computing,graphic processing units,0
classifiers; nearest neighbor classification,classifiers,nearest neighbor classification,0
protein database; pdb,protein database,pdb,0
multicast services; ip multicast,multicast services,ip multicast,1
social networks; social networking sites,social networks,social networking sites,0
semantic description; robotic assembly,semantic description,robotic assembly,3
ontology mapping; semantic web applications,ontology mapping,semantic web applications,1
microprocessor chips; computer hardware,microprocessor chips,computer hardware,1
web service selection; services selection,web service selection,services selection,1
multi objective particle swarm optimization; pso algorithm,multi objective particle swarm optimization,pso algorithm,1
forecasting accuracy; machine learning techniques,forecasting accuracy,machine learning techniques,1
archstudio; ds-cdma,archstudio,ds-cdma,3
parse trees; natural language processing systems,parse trees,natural language processing systems,1
back propagation algorithm; pim,back propagation algorithm,pim,3
maximum entropy models; rayleigh fading channel,maximum entropy models,rayleigh fading channel,3
daubechies wavelet; discrete wavelet transform (dwt),daubechies wavelet,discrete wavelet transform (dwt),1
binary decision diagrams (bdd); variable ordering,binary decision diagrams (bdd),variable ordering,0
computer aided instruction; human computer interaction,computer aided instruction,human computer interaction,1
p2p networks; internet,p2p networks,internet,1
multiobjective optimisation; multi-objective genetic algorithms,multiobjective optimisation,multi-objective genetic algorithms,0
maximal ratio combining; antenna,maximal ratio combining,antenna,1
forecasting models; machine-learning,forecasting models,machine-learning,1
ltl; non-holonomic mobile robots,ltl,non-holonomic mobile robots,3
bayesian frameworks; structure learning,bayesian frameworks,structure learning,0
adaboost; boosting algorithm,adaboost,boosting algorithm,0
inertial sensor; sensor,inertial sensor,sensor,1
k-means clustering method; energy market,k-means clustering method,energy market,3
neural network model; back-propagation neural networks,neural network model,back-propagation neural networks,2
matlab simulation; matlab simulations,matlab simulation,matlab simulations,2
bp neural network model; back propagation algorithm,bp neural network model,back propagation algorithm,1
forecasting methods; machine learning,forecasting methods,machine learning,1
qoe; superresolution methods,qoe,superresolution methods,3
map-reduce; fiber optic networks,map-reduce,fiber optic networks,3
haptic device; description logics,haptic device,description logics,3
architecture assessment; medium access control,architecture assessment,medium access control,3
tactics for cyber foraging; architecture tactic,tactics for cyber foraging,architecture tactic,1
back-propagation neural network; back propagation,back-propagation neural network,back propagation,0
computing system; computer system,computing system,computer system,1
b-splines; computer aided design (cad),b-splines,computer aided design (cad),1
fuzzy neural network; peak signal-to-noise ratio,fuzzy neural network,peak signal-to-noise ratio,3
classification methods; computer system,classification methods,computer system,1
named entity recognition; natural language processing,named entity recognition,natural language processing,1
swarm intelligence; artificial intelligence,swarm intelligence,artificial intelligence,1
pollution attack; p2p network,pollution attack,p2p network,1
channel estimation errors; wearable computing,channel estimation errors,wearable computing,3
architecture-based testing; architecture verification and validation,architecture-based testing,architecture verification and validation,1
smart city; smart education,smart city,smart education,0
medical image registration; biomedical imaging,medical image registration,biomedical imaging,1
least squares support vector machine; support vector machines (svms),least squares support vector machine,support vector machines (svms),1
frequency reuse; frequency re-use,frequency reuse,frequency re-use,2
pollution attack; p2p system,pollution attack,p2p system,1
backpropagation algorithm; neural networks,backpropagation algorithm,neural networks,1
optical fibers; optical-fiber communications,optical fibers,optical-fiber communications,0
surface current; antenna,surface current,antenna,1
noise signals; de-nosing,noise signals,de-nosing,1
underwater acoustic communications; orthogonal frequency-division multiplexing (ofdm),underwater acoustic communications,orthogonal frequency-division multiplexing (ofdm),1
pso; pareto dominance,pso,pareto dominance,0
ahp; human engineering,ahp,human engineering,3
distributed parameter system; web-gis,distributed parameter system,web-gis,3
bayesian frameworks; bayesian method,bayesian frameworks,bayesian method,2
architecture activity; architecture evolution,architecture activity,architecture evolution,0
wsn; lr-wpans,wsn,lr-wpans,0
inductive logic programming; machine learning algorithms,inductive logic programming,machine learning algorithms,1
proportional integral controllers; architecture viewpoints,proportional integral controllers,architecture viewpoints,3
machine learning; link prediction,machine learning,link prediction,0
peer-to-peer technologies; live streaming,peer-to-peer technologies,live streaming,0
peer-to-peer technologies; incentive mechanisms,peer-to-peer technologies,incentive mechanisms,0
object recognition; moving objects detection,object recognition,moving objects detection,0
biological networks; computational biology,biological networks,computational biology,1
discrete time control systems; cognitive systems,discrete time control systems,cognitive systems,3
modelling language; computational linguistics,modelling language,computational linguistics,1
planning algorithms; php,planning algorithms,php,3
mde; model to model transformation,mde,model to model transformation,0
distributed computer systems; wearable technology,distributed computer systems,wearable technology,3
activity diagrams; fuzzy evaluation,activity diagrams,fuzzy evaluation,3
decision table; attributes reduction,decision table,attributes reduction,0
closed loop control; vector space model,closed loop control,vector space model,3
augmentative and alternative communication (aac); platform specific model,augmentative and alternative communication (aac),platform specific model,3
logic gate; optical computing,logic gate,optical computing,0
biological networks; autonomous robots,biological networks,autonomous robots,3
pareto front; pareto fronts,pareto front,pareto fronts,2
mimo-ofdm; video codecs,mimo-ofdm,video codecs,3
unified modelling language; uml profiles,unified modelling language,uml profiles,0
parallel manipulator; cellular automata (ca),parallel manipulator,cellular automata (ca),3
haptic; haptic guidance,haptic,haptic guidance,0
relational data; relational data model,relational data,relational data model,2
learning outcomes; elearning,learning outcomes,elearning,1
improved particle swarm optimization; particle swarm algorithm,improved particle swarm optimization,particle swarm algorithm,1
component based software engineering; component based systems,component based software engineering,component based systems,2
support vector machines (svms); histogram of oriented gradients (hog),support vector machines (svms),histogram of oriented gradients (hog),0
computer systems; database,computer systems,database,0
wsn; clock synchronization,wsn,clock synchronization,0
pervasive computing environments; common-sense computing,pervasive computing environments,common-sense computing,3
constant false alarm rate (cfar); constant false alarm rate,constant false alarm rate (cfar),constant false alarm rate,2
social network; social networking sites,social network,social networking sites,0
diversity-multiplexing tradeoff; diversity gains,diversity-multiplexing tradeoff,diversity gains,1
natural language processing systems; word embedding,natural language processing systems,word embedding,0
sequential machines; sequential consistency,sequential machines,sequential consistency,0
microstrip patch antennas; microstrip patch,microstrip patch antennas,microstrip patch,0
pattern recognition; optical code division multiple access,pattern recognition,optical code division multiple access,3
tdma scheduling; wsn,tdma scheduling,wsn,1
pattern recognition; machine learning methods,pattern recognition,machine learning methods,1
distributed computer systems; computer systems,distributed computer systems,computer systems,1
fused images; web content,fused images,web content,3
peer to peer (p2p) network; super-peer,peer to peer (p2p) network,super-peer,0
elearning; sharable content object reference model,elearning,sharable content object reference model,0
dense disparity maps; css,dense disparity maps,css,3
direction-of-arrival estimation; directions of arrival,direction-of-arrival estimation,directions of arrival,1
computer programming; object oriented programming,computer programming,object oriented programming,0
peer-to-peer networks; gnutella,peer-to-peer networks,gnutella,0
microservices; microservice architecture,microservices,microservice architecture,2
femtocells; femto-cells,femtocells,femto-cells,2
backpropagation; optical computing,backpropagation,optical computing,3
content delivery networks; p2p applications,content delivery networks,p2p applications,1
evaluation index system; hierarchical system,evaluation index system,hierarchical system,1
ensemble learning; machine-learning,ensemble learning,machine-learning,1
parallel manipulators; implicit feedback,parallel manipulators,implicit feedback,3
multi-objective optimisation; evolutionary multiobjective optimization,multi-objective optimisation,evolutionary multiobjective optimization,0
smart transportation solutions; smart transport,smart transportation solutions,smart transport,2
semantic description; semantic web,semantic description,semantic web,1
hierarchical system; evaluation index,hierarchical system,evaluation index,0
wsn; zigbee,wsn,zigbee,0
b2c; electronic commerce,b2c,electronic commerce,1
distributed sensor networks; clustering algorithm,distributed sensor networks,clustering algorithm,3
small targets; target detections,small targets,target detections,1
bayesian approaches; distributed parameter networks,bayesian approaches,distributed parameter networks,0
malicious peer; peer to peer networks,malicious peer,peer to peer networks,1
hardware; context model,hardware,context model,3
information and communication technology; information communications technology,information and communication technology,information communications technology,0
public key infrastructure; public key infrastructure (pki),public key infrastructure,public key infrastructure (pki),2
formal modeling; linux- operating system,formal modeling,linux- operating system,3
learning bayesian networks; intelligent network,learning bayesian networks,intelligent network,1
electronic documents; wavefront sensing,electronic documents,wavefront sensing,3
soa; service oriented architecture,soa,service oriented architecture,2
consistency checking; consistency-checking,consistency checking,consistency-checking,2
particle swarm optimisation; local convergence,particle swarm optimisation,local convergence,0
markov chain monte carlo algorithms; wireless mesh networks,markov chain monte carlo algorithms,wireless mesh networks,3
super-peer; p2p networks,super-peer,p2p networks,1
bp neural networks; bp neural network model,bp neural networks,bp neural network model,2
cyber-physical systems (cps); cyber physical,cyber-physical systems (cps),cyber physical,2
graphical user interfaces; manipulators,graphical user interfaces,manipulators,3
n-gram language models; nlp,n-gram language models,nlp,1
finite automata; binary decision diagrams (bdd),finite automata,binary decision diagrams (bdd),0
multicasts; multicast,multicasts,multicast,2
graphics processors; multi-view video,graphics processors,multi-view video,3
fuzzy clustering method; fuzzy clustering techniques,fuzzy clustering method,fuzzy clustering techniques,2
extensible markup language (xml); xpath,extensible markup language (xml),xpath,0
classifiers; machine learnings,classifiers,machine learnings,1
sensor; radar sensors,sensor,radar sensors,0
force feedback; haptic systems,force feedback,haptic systems,1
pid parameters; pi controller,pid parameters,pi controller,1
mobile sink; wsn,mobile sink,wsn,1
optimized evolution; drawings,optimized evolution,drawings,3
e-commerce systems; business activities,e-commerce systems,business activities,0
ontology learning; aodv routing protocol,ontology learning,aodv routing protocol,3
ip multicast; network coding,ip multicast,network coding,0
haptic rendering; k-means,haptic rendering,k-means,3
p2p; peer-to-peer streaming,p2p,peer-to-peer streaming,0
field-programmable gate arrays; logic gate,field-programmable gate arrays,logic gate,0
drawing (graphics); cad,drawing (graphics),cad,1
third generation partnership project (3gpp); long-term evolution,third generation partnership project (3gpp),long-term evolution,1
closed-loop controls; wireless communications,closed-loop controls,wireless communications,3
hypertext markup language (html); extensible markup language,hypertext markup language (html),extensible markup language,1
management information systems; information system development,management information systems,information system development,0
gate stacks; architecture evolution,gate stacks,architecture evolution,3
ground-penetrating radar (gpr); ground penetrating radar systems,ground-penetrating radar (gpr),ground penetrating radar systems,2
statistical language models; natural language processing,statistical language models,natural language processing,1
p2p network; super-peer,p2p network,super-peer,0
peer to peer (p2p) network; structured p2p networks,peer to peer (p2p) network,structured p2p networks,0
ahp; analytic network process (anp),ahp,analytic network process (anp),0
maximum entropy models; code-division multiple access (cdma),maximum entropy models,code-division multiple access (cdma),3
clinical decision support; decision support system (dss),clinical decision support,decision support system (dss),1
multicasts; multicast services,multicasts,multicast services,0
path planning; mapreduce,path planning,mapreduce,3
indoor propagation; support vector machine (svms),indoor propagation,support vector machine (svms),3
low-power consumption; rup,low-power consumption,rup,3
model-checking; z formal specification,model-checking,z formal specification,0
computer control; control system,computer control,control system,1
end effectors; robotic manipulators,end effectors,robotic manipulators,1
h.264/avc; association rules,h.264/avc,association rules,3
network performance; telecommunication networks,network performance,telecommunication networks,1
multi-hop routing; network life-time,multi-hop routing,network life-time,1
knn; k-nn query,knn,k-nn query,0
support vector machine; least squares support vector machine,support vector machine,least squares support vector machine,0
aspect oriented programming; aspect-oriented programming (aop),aspect oriented programming,aspect-oriented programming (aop),2
semantic web applications; semantic social network analysis,semantic web applications,semantic social network analysis,0
cad models; computer aided design (cad),cad models,computer aided design (cad),1
field-programmable gate array (fpga); pipelined architecture,field-programmable gate array (fpga),pipelined architecture,0
gibbs sampling; bayesian approach,gibbs sampling,bayesian approach,1
firewalls; warehouses,firewalls,warehouses,3
software development; prototyping,software development,prototyping,0
kernel method; support vector machine (svms),kernel method,support vector machine (svms),1
autonomous agents; spatial data,autonomous agents,spatial data,3
svm classifier; svm classifiers,svm classifier,svm classifiers,2
system calls; operating system,system calls,operating system,1
case retrieval; case based reasoning (cbr),case retrieval,case based reasoning (cbr),1
decision support system (dss); clinical decision support,decision support system (dss),clinical decision support,0
lossless compressions; lossless compression algorithm,lossless compressions,lossless compression algorithm,0
videogames; human-computer interaction,videogames,human-computer interaction,1
traffic identification; peer-to-peer (p2p),traffic identification,peer-to-peer (p2p),1
compiler; training algorithm,compiler,training algorithm,3
p2p systems; peer-to-peer networks,p2p systems,peer-to-peer networks,2
object-oriented programming; software design patterns,object-oriented programming,software design patterns,0
control system; technical conferences,control system,technical conferences,0
natural language processing systems; synsets,natural language processing systems,synsets,0
architectural pattern; software architecture patterns,architectural pattern,software architecture patterns,2
mobile sensor network; wsn,mobile sensor network,wsn,1
graphical user interfaces; fuzzy clustering,graphical user interfaces,fuzzy clustering,3
python; poisson noise,python,poisson noise,3
nuclear reactor accidents; frequent pattern mining,nuclear reactor accidents,frequent pattern mining,3
centrality measure; subjective quality,centrality measure,subjective quality,3
question answering; component based approach,question answering,component based approach,3
fuzzy clustering method; fuzzy clustering algorithms,fuzzy clustering method,fuzzy clustering algorithms,0
embedded system design; microcalcifications,embedded system design,microcalcifications,3
public-key cryptosystems; component model semantics,public-key cryptosystems,component model semantics,3
back propagation algorithm; belief propagation,back propagation algorithm,belief propagation,0
natural language processing; statistical language models,natural language processing,statistical language models,0
adaptive algorithm; navigation system,adaptive algorithm,navigation system,3
architecture evaluation; alma,architecture evaluation,alma,0
call admission control; congenial access control (cac),call admission control,congenial access control (cac),0
intelligent agents; multi agent system,intelligent agents,multi agent system,1
cognitive radios; wireless telecommunication systems,cognitive radios,wireless telecommunication systems,1
capp; process planning,capp,process planning,1
ka band; antenna,ka band,antenna,1
content distribution; peer-to-peer technologies,content distribution,peer-to-peer technologies,1
sparql; resource description framework (rdf),sparql,resource description framework (rdf),1
peer-to-peer; large-scale distributed system,peer-to-peer,large-scale distributed system,0
plc; digital mammography,plc,digital mammography,3
pid; classifier ensembles,pid,classifier ensembles,3
peer-to-peer file sharing; kinect,peer-to-peer file sharing,kinect,3
particle swarms; meta-heuristic methods,particle swarms,meta-heuristic methods,0
e-learning platforms; e - learnings,e-learning platforms,e - learnings,1
mutation strategy; pso algorithm,mutation strategy,pso algorithm,1
sensors; wearable,sensors,wearable,0
high-quality solutions; software development organizations,high-quality solutions,software development organizations,3
computer system; time delay systems,computer system,time delay systems,0
activity diagrams; 3rd generation partnership project (3gpp),activity diagrams,3rd generation partnership project (3gpp),3
context-free languages; hypertext markup language (html),context-free languages,hypertext markup language (html),3
document processing; video surveillance,document processing,video surveillance,3
bayesian network; bayesian,bayesian network,bayesian,2
grammatical inference; grammatical inferences,grammatical inference,grammatical inferences,2
system on chip (soc); systems on chips,system on chip (soc),systems on chips,1
media access control; high level synthesis,media access control,high level synthesis,3
phylogenetic tree; wireless sensor networks (wsns),phylogenetic tree,wireless sensor networks (wsns),3
dwt; fuzzy partition,dwt,fuzzy partition,3
multiple signal classification; directions of arrival,multiple signal classification,directions of arrival,1
live streaming; peer to peer (p2p) network,live streaming,peer to peer (p2p) network,1
multicast routing protocols; multicast protocols,multicast routing protocols,multicast protocols,1
radial basis function neural networks; rbf neural networks,radial basis function neural networks,rbf neural networks,2
rbac; human-machine interface,rbac,human-machine interface,3
hyperspectral image processing; redundant robots,hyperspectral image processing,redundant robots,3
smart transportation solution; smart city,smart transportation solution,smart city,1
quadratic programming problems; support vector machine (svms),quadratic programming problems,support vector machine (svms),1
queuing system; queuing network,queuing system,queuing network,1
digital communication systems; atm network,digital communication systems,atm network,0
wireless telecommunication systems; cognitive radios,wireless telecommunication systems,cognitive radios,0
language modelling; language model adaptation,language modelling,language model adaptation,0
force feedback; force-feedback,force feedback,force-feedback,2
free-riding; peer-to-peer network,free-riding,peer-to-peer network,1
knowledge discovery; chosen message attacks,knowledge discovery,chosen message attacks,3
bayesian estimations; bayesian methods,bayesian estimations,bayesian methods,1
content based recommendation (cbr); similar case,content based recommendation (cbr),similar case,0
bayesian frameworks; bayesian models,bayesian frameworks,bayesian models,2
solution accuracy; particle swarm optimisation,solution accuracy,particle swarm optimisation,1
next generation networks; ip multimedia subsystems,next generation networks,ip multimedia subsystems,0
alma; architecture assessment,alma,architecture assessment,1
service compositions; services selection,service compositions,services selection,0
clustering algorithm; fuzzy clustering method,clustering algorithm,fuzzy clustering method,0
back-propagation neural network; machine learning techniques,back-propagation neural network,machine learning techniques,1
wavelet transforms; de-nosing,wavelet transforms,de-nosing,0
multiprocessors; embedded system,multiprocessors,embedded system,1
satellite systems; integrated circuit layout,satellite systems,integrated circuit layout,3
network-induced delays; medium access control,network-induced delays,medium access control,3
adaptive neuro-fuzzy inference system (anfis); back-propagation neural network,adaptive neuro-fuzzy inference system (anfis),back-propagation neural network,1
back-propagation neural network; cnn,back-propagation neural network,cnn,0
multiprocessor systems on chips; embedded systems,multiprocessor systems on chips,embedded systems,1
optical sensors; component-based systems,optical sensors,component-based systems,3
reference architecture; multi path routing,reference architecture,multi path routing,3
intelligent robots; multiwavelet,intelligent robots,multiwavelet,3
pid controllers; pi control,pid controllers,pi control,2
esprit; rbac,esprit,rbac,3
architecture description language; smith predictor,architecture description language,smith predictor,3
semantic web applications; ontology mapping,semantic web applications,ontology mapping,0
ip core; relational data model,ip core,relational data model,3
relational database systems; functional dependencies,relational database systems,functional dependencies,0
requirement engineering; goal models,requirement engineering,goal models,0
laser communications; method of moments (mom),laser communications,method of moments (mom),3
nonholonomic system; nonholonomic systems,nonholonomic system,nonholonomic systems,2
web ontology language; semantic web technology,web ontology language,semantic web technology,1
k-means algorithm; k-means clustering method,k-means algorithm,k-means clustering method,0
on-line algorithms; bist,on-line algorithms,bist,3
pid control; pid controller,pid control,pid controller,2
computer aided design (cad); drawing (graphics),computer aided design (cad),drawing (graphics),0
query rewritings; query rewriting,query rewritings,query rewriting,2
back-propagation neural networks; feedforward neural network,back-propagation neural networks,feedforward neural network,0
biomedical signal; bioindicator,biomedical signal,bioindicator,1
least mean square; courseware,least mean square,courseware,3
output-feedback; state feedback,output-feedback,state feedback,1
motor imagery; brain-computer interfaces (bci),motor imagery,brain-computer interfaces (bci),1
business activities; e-commerce systems,business activities,e-commerce systems,1
frequent item sets; architecture knowledge reuse,frequent item sets,architecture knowledge reuse,3
dynamic environments; reflector antennas,dynamic environments,reflector antennas,3
unstructured p2p network; peer to peer networks,unstructured p2p network,peer to peer networks,1
integrated circuit layout; computer aided design (cad),integrated circuit layout,computer aided design (cad),1
fuzzy clustering method; fuzzy clustering analysis,fuzzy clustering method,fuzzy clustering analysis,0
p2p applications; distributed computer systems,p2p applications,distributed computer systems,1
architectural patterns; mapreduce,architectural patterns,mapreduce,0
architectural tactics; tactics for cyber-foraging,architectural tactics,tactics for cyber-foraging,0
scholarly data; digital libraries,scholarly data,digital libraries,1
queueing network; queuing networks,queueing network,queuing networks,2
cluster centers; surveillance cameras,cluster centers,surveillance cameras,3
privacy issue; component models,privacy issue,component models,3
large-scale distributed system; p2p applications,large-scale distributed system,p2p applications,1
case based reasoning (cbr); case based reasoning systems,case based reasoning (cbr),case based reasoning systems,0
underwater environments; autonomous underwater vehicles (auv),underwater environments,autonomous underwater vehicles (auv),1
adaptive network based fuzzy inference system; back-propagation neural networks,adaptive network based fuzzy inference system,back-propagation neural networks,1
smart sensor; sensor network,smart sensor,sensor network,1
document processing; dynamic spectrum allocation,document processing,dynamic spectrum allocation,3
feedback systems; limited feedback,feedback systems,limited feedback,0
wsn; intra-cluster,wsn,intra-cluster,0
genetic algorithm; evolutionary algorithm,genetic algorithm,evolutionary algorithm,0
routing algorithm; dijkstras algorithm,routing algorithm,dijkstras algorithm,0
multi-agent; multiagent system,multi-agent,multiagent system,1
micro-blog; microblogging,micro-blog,microblogging,2
capacity regions; robot control,capacity regions,robot control,3
lexical database; wordnet,lexical database,wordnet,0
peer-to-peer networks; p2p systems,peer-to-peer networks,p2p systems,2
complex adaptive system; graphics processing unit (gpu),complex adaptive system,graphics processing unit (gpu),3
mobile environment; mobile environments,mobile environment,mobile environments,2
smart transportation system; smart city,smart transportation system,smart city,1
personalized recommendation systems; e-commerce systems,personalized recommendation systems,e-commerce systems,1
soa; service oriented systems,soa,service oriented systems,0
back propagation neural networks; rnn,back propagation neural networks,rnn,0
information system development; management information systems,information system development,management information systems,1
consistency-checking; precoding,consistency-checking,precoding,3
system call; operating system,system call,operating system,1
pim; software agents,pim,software agents,3
computer programming languages; unified modeling language (uml),computer programming languages,unified modeling language (uml),0
architectural model; diversity gains,architectural model,diversity gains,3
malwares; principle component analysis,malwares,principle component analysis,3
clutches; discrete cosine transforms (dct),clutches,discrete cosine transforms (dct),1
semantic social network analysis; semantic technology,semantic social network analysis,semantic technology,1
hypertext markup language (html); hypertext markup language,hypertext markup language (html),hypertext markup language,2
web contents; web personalization,web contents,web personalization,0
sleep mode; wsn,sleep mode,wsn,1
analytic hierarchy process (ahp); pairwise comparison,analytic hierarchy process (ahp),pairwise comparison,0
multilayer perceptrons; neural network model,multilayer perceptrons,neural network model,1
antenna; surface current,antenna,surface current,0
local optimal solution; pso,local optimal solution,pso,1
artificial neural network; delayed neural networks,artificial neural network,delayed neural networks,0
hybrid sensors; wsn,hybrid sensors,wsn,1
multi-objective optimizations; multiobjective optimisation,multi-objective optimizations,multiobjective optimisation,2
e commerces; online privacy,e commerces,online privacy,0
peer-to-peer system; p2p networks,peer-to-peer system,p2p networks,2
software development projects; dsdm,software development projects,dsdm,0
jpeg-ls; lossless compressions,jpeg-ls,lossless compressions,1
autonomous agents; robot controls,autonomous agents,robot controls,3
hypertext markup language (html); sgml,hypertext markup language (html),sgml,0
quadrature amplitude modulation (qam); quadrature amplitude modulation,quadrature amplitude modulation (qam),quadrature amplitude modulation,2
link prediction; machine learnings,link prediction,machine learnings,1
model view controller pattern; software architecture patterns,model view controller pattern,software architecture patterns,1
feedback systems; network-induced delay,feedback systems,network-induced delay,0
vector space model; vsm,vector space model,vsm,2
back-propagation neural network; lstm,back-propagation neural network,lstm,0
decision tree; node-disjoint,decision tree,node-disjoint,3
mpsoc; network-on-chip,mpsoc,network-on-chip,1
kernel parameter; phylogenetic trees,kernel parameter,phylogenetic trees,3
grid schedulers; open geospatial consortium (ogc),grid schedulers,open geospatial consortium (ogc),3
radio frequency identification technology; web users,radio frequency identification technology,web users,3
architecture evaluation; saluta,architecture evaluation,saluta,0
evaluation index system; integrated circuit layout,evaluation index system,integrated circuit layout,3
bayesian method; prior information,bayesian method,prior information,0
integrality gaps; buffer storage,integrality gaps,buffer storage,3
splines; computer aided design (cad),splines,computer aided design (cad),1
global optimal solutions; particle swarm algorithm,global optimal solutions,particle swarm algorithm,1
frequency allocation; communication channels,frequency allocation,communication channels,1
customer value; e-commerce systems,customer value,e-commerce systems,1
business process modeling notation; business process modelling,business process modeling notation,business process modelling,1
pso; improved particle swarm optimization algorithms,pso,improved particle swarm optimization algorithms,0
secrecy capacity; natural language understanding,secrecy capacity,natural language understanding,3
client server; architectural styles,client server,architectural styles,1
unified medical language systems; computational biology,unified medical language systems,computational biology,1
video processing; image and video processing,video processing,image and video processing,0
mobile robotics; real time systems,mobile robotics,real time systems,0
particle swarm optimization algorithms; particle swarm optimization algorithm,particle swarm optimization algorithms,particle swarm optimization algorithm,2
feature model; teaching effectiveness,feature model,teaching effectiveness,3
architecting; reverse engineering,architecting,reverse engineering,0
quality increasing; concept lattice,quality increasing,concept lattice,3
architectural language; architecture description language,architectural language,architecture description language,2
ieee 802.11s; nash equilibrium,ieee 802.11s,nash equilibrium,3
control system; control system analysis,control system,control system analysis,0
channel state information; channel state information (csi),channel state information,channel state information (csi),2
business process modeling notation (bpmn); bpm,business process modeling notation (bpmn),bpm,1
learning environment; elearning,learning environment,elearning,1
aodv routing protocol; manets,aodv routing protocol,manets,1
optical fibers; optical filter,optical fibers,optical filter,0
semantic web service; semantic web technology,semantic web service,semantic web technology,1
binary decision diagrams (bdd); decision diagrams,binary decision diagrams (bdd),decision diagrams,0
sdr; software-defined radios,sdr,software-defined radios,1
sensor; ad hoc network,sensor,ad hoc network,0
sliding-mode control; sliding mode control,sliding-mode control,sliding mode control,2
ls-svm; parallel plates,ls-svm,parallel plates,3
multiple input multiple outputs; orthogonal frequency division multiplexing (ofdm),multiple input multiple outputs,orthogonal frequency division multiplexing (ofdm),1
peer-to-peer system; file sharing,peer-to-peer system,file sharing,0
homomorphic-encryptions; impulse radio,homomorphic-encryptions,impulse radio,3
direction of arrival (doa); directions of arrival,direction of arrival (doa),directions of arrival,2
architecture description language; architectural language,architecture description language,architectural language,2
routing; computer network,routing,computer network,1
broker; architectural pattern,broker,architectural pattern,1
nonmonotonic reasoning; non-monotonic reasoning,nonmonotonic reasoning,non-monotonic reasoning,2
mammograms; fso,mammograms,fso,3
back-propagation neural network; feedforward neural networks,back-propagation neural network,feedforward neural networks,0
database; database schemas,database,database schemas,0
bayesian method; deep belief networks,bayesian method,deep belief networks,0
index system; svm model,index system,svm model,3
file-sharing; p2p applications,file-sharing,p2p applications,1
queuing network; arrival process,queuing network,arrival process,0
autonomous underwater vehicles (auv); underwater robot,autonomous underwater vehicles (auv),underwater robot,0
multi-input multi-output; orthogonal frequency-division multiplexing (ofdm),multi-input multi-output,orthogonal frequency-division multiplexing (ofdm),1
peer-to-peer technologies; bittorrent,peer-to-peer technologies,bittorrent,0
particle swarm algorithm; global optimal solutions,particle swarm algorithm,global optimal solutions,0
case based reasoning; content based recommendation,case based reasoning,content based recommendation,0
multi-agent systems; web graph,multi-agent systems,web graph,3
layered pattern; architectural styles,layered pattern,architectural styles,1
communications systems; anonymous communication,communications systems,anonymous communication,0
radial basis; rbf neural networks,radial basis,rbf neural networks,2
near field communications; near field communication,near field communications,near field communication,2
product lines; image and video processing,product lines,image and video processing,3
lyapunov method; time delays,lyapunov method,time delays,1
software development life cycle; software development methods,software development life cycle,software development methods,0
cad; computer aided engineering,cad,computer aided engineering,0
smart education; smart city,smart education,smart city,1
software architecture patterns; service-oriented architecture (soa),software architecture patterns,service-oriented architecture (soa),0
east-adl; mimo-ofdma,east-adl,mimo-ofdma,3
computer network; fault tolerant computer systems,computer network,fault tolerant computer systems,0
pareto front; semantic technologies,pareto front,semantic technologies,3
inductive logic programming; machine-learning,inductive logic programming,machine-learning,1
variational bayesian; bayesian method,variational bayesian,bayesian method,1
orthogonal frequency-division multiplexing (ofdm); optical ofdm,orthogonal frequency-division multiplexing (ofdm),optical ofdm,0
antenna; antennas,antenna,antennas,2
variability model; variability modeling,variability model,variability modeling,2
question answering; daubechies wavelet,question answering,daubechies wavelet,3
radio frequency identification; degree centrality,radio frequency identification,degree centrality,3
video database; database,video database,database,1
least squares support vector machine; ls-svm,least squares support vector machine,ls-svm,2
case-based reasoning; case-based reasoning (cbr),case-based reasoning,case-based reasoning (cbr),2
minimum mean square errors (mmse); minimum mean square error,minimum mean square errors (mmse),minimum mean square error,2
k-means clustering; wearable systems,k-means clustering,wearable systems,3
relational databases; knowledge-based systems,relational databases,knowledge-based systems,1
haptic interface; force-feedback,haptic interface,force-feedback,0
architectural models; ebusiness,architectural models,ebusiness,3
point spread function; semidefinite programs,point spread function,semidefinite programs,3
least mean square; attributes reduction,least mean square,attributes reduction,3
queueing model; software architecture patterns,queueing model,software architecture patterns,3
distributed computer systems; peer to peer (p2p) network,distributed computer systems,peer to peer (p2p) network,0
extensible markup language (xml); xml query processing,extensible markup language (xml),xml query processing,0
autonomous underwater vehicle (auv); autonomous underwater vehicle,autonomous underwater vehicle (auv),autonomous underwater vehicle,2
peer-to-peer application; peer to peer networks,peer-to-peer application,peer to peer networks,1
mobile robotics; range finders,mobile robotics,range finders,0
peer to peer; bittorrent,peer to peer,bittorrent,0
cpasa; 3d user interfaces,cpasa,3d user interfaces,3
qos attributes; services selection,qos attributes,services selection,1
lane detection; global system for mobile communications,lane detection,global system for mobile communications,3
radon transform; transmission capacity,radon transform,transmission capacity,3
mutation operations; pso,mutation operations,pso,1
subbands; imaging systems,subbands,imaging systems,1
equivalence classes; neural network model,equivalence classes,neural network model,3
adaptive system; customer behavior,adaptive system,customer behavior,3
non-monotonic reasoning; nonmonotonic reasoning,non-monotonic reasoning,nonmonotonic reasoning,2
network on chip; computer security,network on chip,computer security,3
